,student_id,effort_8232,mastering_8232,effort_8234,mastering_8234,effort_8240,mastering_8240
0,15909444,131,1.94,129,1.6773996405365124,145,0.41474331590024066
1,15909479,126,1.568858195842135,118,1.132126177994374,114,0.21656148656285032
2,15909524,33,2.0,29,1.94,102,2.0
3,15909424,57,0.7056882817398462,206,0.5887063714146601,194,-0.204097749397934
4,15096159,109,1.1059322606440978,98,2.0,235,0.4763211944049389
5,15909489,90,0.04420909822081212,117,-0.8999291436718312,50,-1.8110407677919145
6,15909509,45,1.6588207731150242,121,1.5885650023035442,202,0.10273559038090142
7,15909504,82,1.5920446609808192,104,0.9321089499113514,239,-0.1975133621914524
8,15909459,77,0.5845536194896777,174,0.2863142512058967,84,-0.7528203693707758
9,15909529,129,-0.9085510794415728,55,-0.2027952428284052,182,-0.5716331350543266
10,15909454,103,-1.2221140738194796,101,0.4750080441001489,109,-0.004322911285735906
11,15096214,36,0.31442968320902853,141,-0.5560510373506552,70,-1.4967190274405933
12,15909499,75,1.9670569942951244,63,2.0,103,1.7831377518959304
